Planet Name,X,Y,Z,Orbital Period,Planet Radius,Planet Mass,Semi-Major Axis,Eccentricity,Insolation Flux,Equilibrium Temperature,Star Temperature,Star Radius
HIP 97166 c,1.8411141441526229,-3.734294028014803,14.580167610552534,16.432,,8.0,0,0,,,5216.0,0.84
HIP 97233 b,4.350506457395721,-8.755549149498592,-0.11891997200917565,1058.8,,6356.3,0,0,,,5020.0,5.34
HIP 99770 b,11.065674243781276,-16.63385985078003,14.949306861996492,18600.0,,5117.03735,0,0,,,8000.0,
HN Lib b,-122.2339292348199,-97.46802330559474,-34.70768828839097,36.116,,5.46,0,0,0.5,234.0,3347.0,0.3
HN Peg b,44.31235718294795,-29.741239692065314,14.07194854284768,,11.777,6991.57,0,0,,,,
HR 2562 b,-3.1593803870289228,14.246017655708473,-25.52959119121507,,12.442,9534.9,0,0,,1200.0,,
HR 5183 b,-28.21333829267475,-14.211925042833888,3.5154945291567112,43000.0,,1004.33777,0,0,,,5833.8,1.56
HR 810 b,27.692922208553448,23.770703134787556,-44.747247149484224,320.1,,718.2958,0,0,,,,
HR 858 b,19.655397503029658,18.31932242308498,-16.02595563569781,3.58599,2.085,,0,0,989.7,1572.0,6201.0,1.31
HR 858 c,19.655397503029658,18.31932242308498,-16.02595563569781,5.97293,1.939,,0,0,512.0,1326.0,6201.0,1.31
HR 858 d,19.655397503029658,18.31932242308498,-16.02595563569781,11.23,2.164,,0,0,217.0,1075.0,6201.0,1.31
HR 8799 b,22.023891825553335,-5.1372175808415,8.741880234512415,166510.17,,,0,0,,,,
HR 8799 c,22.023891825553335,-5.1372175808415,8.741880234512415,83255.09,,,0,0,,,,
HR 8799 d,22.023891825553335,-5.1372175808415,8.741880234512415,,,,0,0,,,7204.58,1.49
HR 8799 e,22.023891825553335,-5.1372175808415,8.741880234512415,,13.115,3178.3,0,0,,1150.0,7400.0,
HS Psc b,21.56385008655233,9.757926527224985,12.035357954234811,3.986,,464.02947,0,0,,,4203.0,0.65
HU Aqr AB b,inf,-inf,-inf,2390.0,,1875.197,0,0,,,,
HU Aqr AB c,inf,-inf,-inf,4368.0,,1430.235,0,0,,,,
IC 4651 9122 b,-0.11444602369472225,-0.7400122014113697,-0.8907830060590394,734.0,,2002.329,0,0,,,,
ITG 15 b,2.260406463091294,6.18924523759822,3.2181617237683464,,,6674.39655,0,0,,2601.0,,
K2-10 b,-3.635372790779543,0.5030497640016678,0.10832219679198231,19.3037,4.37,,0,0,54.1,,5581.0,1.08
K2-100 b,-3.1678403882600135,3.829113411887912,1.8192208664561873,1.673916,3.5,,0,0,,,6120.0,1.19
K2-101 b,-3.251458865351277,3.828037588884558,1.7229109336241963,14.6762429,2.0,,0,0,,618.0,4927.0,0.76
K2-102 b,-3.2181222333942268,3.827619188563602,1.798267421182681,9.9147,,,0,0,,,4638.0,0.77
K2-104 b,-3.1713557036549243,3.828520347025906,1.7872477098671022,1.974,,,0,0,,,3578.0,0.5
K2-105 b,-2.8464320096198223,4.0023153044199375,1.178869245468709,8.26345949,,,0,0,,,5411.15,0.92
K2-107 b,0.3491604271461803,-1.3044180178782774,-0.5536338487545749,3.313959,15.98,,0,0,,1649.0,6061.0,1.81
K2-108 b,-1.1057672331666248,1.6781406262560925,0.5922295446283984,4.73360988,,,0,0,,,5496.0,1.76
K2-11 b,-2.9794998218102626,0.576898829302874,0.10527260214975481,39.93767,7.55,,0,0,,734.0,5433.0,5.15
K2-110 b,-7.451276307907763,-3.8540860857917028,-1.8267870430882558,13.86375,2.592,15.9,0,0,27.7,638.0,5010.0,0.71
K2-111 b,2.332376134462907,4.021991782483204,1.8125655778112892,5.351403,1.223,,0,0,,,5741.0,0.92
K2-111 c,2.332376134462907,4.021991782483204,1.8125655778112892,15.6805,,11.08,0,0,,,5775.0,1.25
K2-113 b,1.4726061322534985,0.5200135304191141,0.18812788442728662,5.8176015,,,0,0,,,5627.0,1.05
K2-114 b,-1.2628354192995288,1.6231820101194716,0.4342212747905896,11.391,,,0,0,,,4913.0,0.88
K2-115 b,-1.4070476703545334,1.8978071175507099,0.5143266822203679,20.272615,12.06,,0,0,,619.0,5657.0,0.88
K2-116 b,18.143159717978406,-8.020122617924656,-4.06443821504511,4.6556782,0.814,,0,0,,,4264.0,0.66
K2-117 b,-6.703704724823758,6.976960433421206,1.7878939837575047,1.291626,,,0,0,,,3689.0,0.51
