Planet Name,X,Y,Z,Orbital Period,Planet Radius,Planet Mass,Semi-Major Axis,Eccentricity,Insolation Flux,Equilibrium Temperature,Star Temperature,Star Radius
Kepler-143 b,247.79406299692764,-464.7083078097408,614.7203551901318,16.00754,2.22,,0,0,,772.0,6002.0,1.06
Kepler-1430 b,214.5108485116131,-599.1866554943822,601.249508338497,2.46050993,1.18,,0,0,,,4796.0,0.72
Kepler-1431 b,403.08098554365307,-965.5650827748451,1241.0148619654656,5.86601526,1.46,,0,0,302.77,1064.0,6020.0,1.04
Kepler-1432 b,603.6758757331642,-1264.2639095189606,1659.5877503300724,23.9109011,2.22,,0,0,64.17,722.0,6313.0,1.12
Kepler-1433 b,,,,,4.157,,0,0,4505.3,,5885.0,3.34
Kepler-1434 b,209.4872068430076,-438.44178327401124,604.4246377255149,8.05333618,0.86,,0,0,467.3,1186.0,6350.0,1.44
Kepler-1435 b,180.10284622895352,-464.9758882272342,497.26604616495234,4.45342368,,,0,0,,,6360.19,1.41
Kepler-1436 b,806.047683068567,-1534.5427039432166,1843.774228802007,9.705693,2.07,,0,0,237.46,1001.0,5808.0,1.39
Kepler-1437 b,510.13629529314227,-1271.2526429295747,1593.9819742296836,10.9295461,1.37,,0,0,,,5557.0,0.9
Kepler-1438 b,289.12829705591054,-826.0913554752176,752.3256988503496,2.31941571,1.24,,0,0,1164.84,1490.0,5624.0,1.25
Kepler-1439 b,46.15836897454508,-163.77795466739695,147.81133578847675,8.07392849,1.46,,0,0,,,3578.0,0.43
Kepler-144 b,58.33557470776468,-276.44877398191204,261.40798185291226,5.885,1.78,,0,0,,1287.0,6157.0,1.49
Kepler-1440 b,196.32410954225168,-715.3353687739649,832.9212307856353,39.85925,1.31,,0,0,,570.0,5900.0,1.08
Kepler-1441 b,326.02832661413316,-742.0404384165989,759.1095760163283,39.4419839,1.11,,0,0,13.9,492.0,5749.0,0.83
Kepler-1442 b,145.21334559894896,-373.3070451277792,458.3080587529816,81.4162941,3.93,,0,0,,,6394.0,1.44
Kepler-1443 b,93.95472659740493,-393.29229969826116,434.63691705153167,2.41810158,,,0,0,,,6347.0,1.58
Kepler-1444 b,62.76965134050859,-228.96542922609453,214.07220444256953,33.42035034,2.18,,0,0,,,5810.0,1.05
Kepler-1445 b,64.90434759430222,-358.9429280197423,351.20479999136137,10.60052083,1.09,,0,0,224.28,987.0,6035.0,1.3
Kepler-1446 b,34.66752622463842,-98.31211998757995,110.72350840725599,0.68996783,1.86,,0,0,6665.5,2304.0,4854.0,1.75
Kepler-1447 b,189.45332382954152,-530.7733254678296,689.2126541770401,56.67466525,,,0,0,,,5634.0,1.0
